full_name,gender,age,national_id,county,sub_county,constituency,ward,polling_station,registration_year,occupation,voter_status
Khadija Odhiambo,Female,31,16330097,Eldoret,Turbo,Turbo,Ng'Arua,Ng'Arua Primary School,2022,Police Officer,Active
Fatuma Bosibori,Female,74,16504916,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2027,Teacher,Active
Odhiambo Muriithi,Male,35,38927355,Machakos,Machakos Town,Machakos Town,Kalama,Kalama Primary School,2022,Tailor,Active
Omar Barasa,Male,55,33776507,Kisumu,Kisumu East,Kisumu East,Manyatta B,Manyatta B Primary School,2022,Tailor,Active
Mutua Kiptoo,Male,34,38425880,Nairobi,Embakasi East,Embakasi East,Mihango,Mihango Primary School,2017,Clerk,Active
Hamisi Akinyi,Male,66,37588606,Kisumu,Kisumu East,Kisumu East,Nyalenda A,Nyalenda A Primary School,2022,Police Officer,Active
Hamisi Jelimo,Male,80,41341494,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2017,Farmer,Active
Thuo Muriithi,Male,72,13635366,Mombasa,Likoni,Likoni,Shika Adabu,Shika Adabu Primary School,2027,Accountant,Active
Amina Waweru,Female,23,16604711,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2013,Mechanic,Active
Waweru Auma,Male,72,14067647,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2017,Clerk,Active
Kemunto Barasa,Female,28,37019456,Mombasa,Likoni,Likoni,Bofu,Bofu Primary School,2017,Shopkeeper,Active
Hamisi Mwenda,Male,30,32770212,Nakuru,Rongai,Rongai,Soin,Soin Primary School,2013,Accountant,Active
Gitahi Otieno,Male,33,17332920,Nairobi,Dagoretti North,Dagoretti North,Ruthimitu,Ruthimitu Primary School,2027,Student,Active
Atieno Hassan,Female,31,26687044,Machakos,Machakos Town,Machakos Town,Mutituni,Mutituni Primary School,2017,Shopkeeper,Active
Njeri Ngugi,Female,39,22857392,Mombasa,Mvita,Mvita,Ganjoni,Ganjoni Primary School,2022,Clerk,Active
Mwenda Bosibori,Male,35,22764703,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2022,Casual Worker,Active
Chebet Gitahi,Female,28,45989527,Kisumu,Kisumu Central,Kisumu Central,Railways,Railways Primary School,2017,Casual Worker,Active
Akinyi Mwenda,Female,55,40105945,Nakuru,Nakuru Town East,Nakuru Town East,Menengai,Menengai Primary School,2022,Mechanic,Active
Kinyanjui Gacheru,Male,27,19407474,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi Primary School,2022,Farmer,Under Review
Njeri Gacheru,Female,40,38311997,Machakos,Mavoko,Mavoko,Muthwani,Muthwani Primary School,2022,Mechanic,Active
Kamau Salim,Male,68,22313673,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2022,Police Officer,Active
Chebet Ruto,Female,28,28692848,Mombasa,Mvita,Mvita,Tononoka,Tononoka Primary School,2017,Self-employed,Active
Hassan Ruto,Male,48,41046444,Mombasa,Likoni,Likoni,Likoni,Likoni Primary School,2013,Teacher,Active
Thuo Kariuki,Male,19,26764226,Kiambu,Thika Town,Thika Town,Township,Township Primary School,2022,Clerk,Active
Zuhura Salim,Female,52,15058994,Kisumu,Kisumu East,Kisumu East,Kolwa East,Kolwa East Primary School,2022,Teacher,Active
Ahmed Moraa,Male,27,39738000,Kiambu,Thika Town,Thika Town,Hospital,Hospital Primary School,2022,Self-employed,Active
Kemunto Kinyanjui,Female,32,46931706,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2017,Self-employed,Active
Njenga Odhiambo,Male,37,16570543,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2017,Tailor,Active
Mumbi Gitahi,Female,52,13394925,Nakuru,Rongai,Rongai,Menengai West,Menengai West Primary School,2027,Casual Worker,Active
Kiptoo Hassan,Male,77,46278242,Nairobi,Embakasi East,Embakasi East,Utawala,Utawala Primary School,2027,Mechanic,Active
Adhiambo Adhiambo,Female,55,10990382,Nairobi,Embakasi East,Embakasi East,Mihango,Mihango Primary School,2022,Driver,Active
Thuo Kinyanjui,Male,49,16258758,Eldoret,Turbo,Turbo,Ngenyilel,Ngenyilel Primary School,2017,Shopkeeper,Active
Omar Otieno,Male,57,25863159,Meru,Imenti North,Imenti North,Nyaki West,Nyaki West Primary School,2013,Self-employed,Under Review
Chepkoech Kariuki,Female,23,21160949,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2027,Shopkeeper,Active
Khadija Adhiambo,Female,35,37273985,Mombasa,Mvita,Mvita,Ganjoni,Ganjoni Primary School,2022,Student,Active
Maina Waweru,Male,58,42590824,Nakuru,Rongai,Rongai,Menengai West,Menengai West Primary School,2027,Student,Active
Halima Bosibori,Female,43,42303416,Kiambu,Thika Town,Thika Town,Township,Township Primary School,2013,Mechanic,Active
Kariuki Auma,Male,70,24344338,Eldoret,Kapseret,Kapseret,Kipkenyo,Kipkenyo Primary School,2013,Engineer,Inactive
Gitahi Mwenda,Male,29,36913358,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2017,Police Officer,Active
Odhiambo Gitahi,Male,63,13934955,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Market Milimani Primary School,2017,Farmer,Active
Moraa Mwangi,Female,49,21048610,Machakos,Mavoko,Mavoko,Muthwani,Muthwani Primary School,2013,Teacher,Active
Waweru Otieno,Male,43,35432455,Nairobi,Westlands,Westlands,Mountain View,Mountain View Primary School,2027,Engineer,Active
Koech Mutua,Male,74,10144644,Nairobi,Westlands,Westlands,Mountain View,Mountain View Primary School,2027,Teacher,Active
Wambui Odhiambo,Female,73,36200760,Eldoret,Turbo,Turbo,Eldoret East,Eldoret East Primary School,2027,Student,Active
Chebet Ochieng,Female,53,27797475,Meru,Imenti North,Imenti North,Ntima East,Ntima East Primary School,2017,Shopkeeper,Active
Kipkoech Akinyi,Male,29,40535094,Machakos,Mavoko,Mavoko,Syokimau,Syokimau Primary School,2017,Trader,Active
Kipchoge Gacheru,Male,80,29142751,Meru,Igembe South,Igembe South,Athiru Rujiine,Athiru Rujiine Primary School,2017,Casual Worker,Active
Nyaguthii Ochieng,Female,46,38387551,Nairobi,Embakasi East,Embakasi East,Embakasi,Embakasi Primary School,2013,Mechanic,Active
Muriithi Muriithi,Male,49,47296980,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2022,Driver,Active
Ngugi Gacheru,Male,48,42659965,Meru,Imenti North,Imenti North,Ntima East,Ntima East Primary School,2022,Mechanic,Active
Akinyi Muriithi,Female,57,20388239,Kisumu,Kisumu Central,Kisumu Central,Migosi,Migosi Primary School,2017,Farmer,Active
Ngugi Mwangi,Male,43,22743830,Eldoret,Turbo,Turbo,Lemook,Lemook Primary School,2027,Engineer,Active
Zawadi Mwangi,Female,85,29911725,Kisumu,Kisumu Central,Kisumu Central,Shaurimoyo,Shaurimoyo Primary School,2027,Teacher,Active
Nyambura Thuo,Female,38,24609659,Kiambu,Ruiru,Ruiru,Biashara,Biashara Primary School,2022,Student,Active
Halima Ochieng,Female,40,13924747,Meru,Imenti North,Imenti North,Nyaki East,Nyaki East Primary School,2017,Clerk,Active
Kiptoo Otieno,Male,58,48868131,Machakos,Machakos Town,Machakos Town,Machakos Central,Machakos Central Primary School,2027,Casual Worker,Active
Kinyanjui Ngugi,Male,62,46386104,Meru,Imenti North,Imenti North,Ntima East,Ntima East Primary School,2027,Trader,Active
Ahmed Bosibori,Male,49,14090793,Nairobi,Embakasi East,Embakasi East,Mihango,Mihango Primary School,2022,Engineer,Active
Kamau Kariuki,Male,39,31045662,Machakos,Mavoko,Mavoko,Kinanie,Kinanie Primary School,2027,Accountant,Active
Safia Kimani,Female,75,13836296,Eldoret,Turbo,Turbo,Eldoret East,Eldoret East Primary School,2013,Tailor,Active
Hassan Salim,Male,39,13364995,Mombasa,Mvita,Mvita,Tononoka,Tononoka Primary School,2027,Trader,Active
Ahmed Atieno,Male,73,49203494,Nairobi,Embakasi East,Embakasi East,Mihango,Mihango Primary School,2017,Teacher,Active
Mwenda Salim,Male,30,41996735,Kiambu,Ruiru,Ruiru,Biashara,Biashara Primary School,2013,Casual Worker,Active
Wairimu Kariuki,Female,29,43745717,Meru,Imenti North,Imenti North,Nyaki West,Nyaki West Primary School,2017,Police Officer,Active
Bosibori Kimani,Female,55,45643271,Nairobi,Westlands,Westlands,Mountain View,Mountain View Primary School,2027,Accountant,Active
Rehema Atieno,Female,67,20565131,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2017,Shopkeeper,Active
Gitahi Odhiambo,Male,51,13817123,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2017,Driver,Active
Kariuki Njoroge,Male,47,44079793,Meru,Igembe South,Igembe South,Athiru Rujiine,Athiru Rujiine Primary School,2022,Tailor,Active
Jelimo Omar,Female,68,15376189,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2027,Clerk,Active
Waweru Bosibori,Male,42,22470502,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Market Milimani Primary School,2013,Student,Active
Bosibori Ngugi,Female,29,14598388,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2017,Student,Active
Rotich Otieno,Female,37,49932130,Machakos,Machakos Town,Machakos Town,Milimani,Milimani Primary School,2013,Casual Worker,Active
Kariuki Kimani,Male,51,14560776,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2017,Accountant,Active
Fatuma Ochieng,Female,69,25784266,Kiambu,Ruiru,Ruiru,Biashara,Biashara Primary School,2013,Shopkeeper,Active
Mwangi Atieno,Male,61,37096918,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2027,Driver,Active
Nyambura Hassan,Female,59,18045454,Kisumu,Kisumu East,Kisumu East,Nyalenda A,Nyalenda A Primary School,2017,Student,Active
Auma Bosibori,Male,84,48230269,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2027,Tailor,Active
Njoroge Mwenda,Male,21,26523232,Machakos,Machakos Town,Machakos Town,Kalama,Kalama Primary School,2017,Shopkeeper,Active
Njenga Odhiambo,Male,43,48850600,Eldoret,Turbo,Turbo,Lemook,Lemook Primary School,2017,Tailor,Active
Wambui Mwangi,Female,75,49897505,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2017,Tailor,Active
Zuhura Auma,Female,21,12667017,Kiambu,Thika Town,Thika Town,Hospital,Hospital Primary School,2017,Trader,Active
Ngugi Hassan,Male,83,15501813,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2013,Mechanic,Under Review
Muriithi Waweru,Male,50,38133707,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Market Milimani Primary School,2022,Driver,Active
Chebet Gacheru,Female,45,49169584,Meru,Igembe South,Igembe South,Athiru Gaiti,Athiru Gaiti Primary School,2022,Police Officer,Active
Nyambura Otieno,Female,31,47931736,Meru,Igembe South,Igembe South,Athiru Gaiti,Athiru Gaiti Primary School,2022,Engineer,Under Review
Nyaguthii Salim,Female,84,45083354,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2022,Shopkeeper,Active
Halima Waweru,Female,55,31231220,Nairobi,Dagoretti North,Dagoretti North,Gitaru,Gitaru Primary School,2017,Student,Active
Auma Thuo,Male,82,27499689,Nakuru,Rongai,Rongai,Menengai West,Menengai West Primary School,2017,Trader,Active
Kipkoech Kimani,Male,41,23707602,Eldoret,Turbo,Turbo,Lemook,Lemook Primary School,2027,Shopkeeper,Active
Ngugi Muriithi,Male,60,31084522,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2017,Casual Worker,Active
Muriithi Kariuki,Male,82,26017943,Mombasa,Likoni,Likoni,Shika Adabu,Shika Adabu Primary School,2013,Police Officer,Active
Mwanaidi Kariuki,Female,61,27825088,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Market Milimani Primary School,2022,Casual Worker,Active
Wairimu Gitahi,Female,60,36560738,Kisumu,Kisumu Central,Kisumu Central,Migosi,Migosi Primary School,2022,Trader,Active
Kamau Bosibori,Male,38,18783092,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2022,Mechanic,Active
Maina Moraa,Male,67,30132463,Machakos,Mavoko,Mavoko,Kinanie,Kinanie Primary School,2013,Self-employed,Active
Wanjiku Gitahi,Female,49,40683821,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2017,Shopkeeper,Active
Kariuki Gacheru,Male,23,31218292,Kiambu,Thika Town,Thika Town,Township,Township Primary School,2017,Driver,Active
Chebet Waweru,Female,42,14868286,Meru,Igembe South,Igembe South,Athiru Gaiti,Athiru Gaiti Primary School,2017,Shopkeeper,Active
Akinyi Hassan,Female,20,10625149,Nakuru,Nakuru Town East,Nakuru Town East,Kivumbini,Kivumbini Primary School,2022,Trader,Active
Rashid Salim,Male,31,40755020,Nairobi,Dagoretti North,Dagoretti North,Riruta,Riruta Primary School,2022,Farmer,Active
Mwenda Bosibori,Male,50,47781863,Machakos,Machakos Town,Machakos Town,Kalama,Kalama Primary School,2022,Trader,Active
Barasa Kiptoo,Male,35,16709628,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2022,Shopkeeper,Active
Kipkoech Omondi,Male,43,14916443,Mombasa,Likoni,Likoni,Shika Adabu,Shika Adabu Primary School,2022,Tailor,Active
Omar Kiptoo,Male,81,46080034,Kiambu,Thika Town,Thika Town,Township,Township Primary School,2027,Clerk,Active
Gathoni Otieno,Female,32,24304543,Nairobi,Dagoretti North,Dagoretti North,Riruta,Riruta Primary School,2027,Police Officer,Active
Gacheru Mutua,Male,76,43949347,Mombasa,Likoni,Likoni,Shika Adabu,Shika Adabu Primary School,2027,Driver,Active
Kariuki Ochieng,Male,58,27797298,Nairobi,Embakasi East,Embakasi East,Upper Savanna,Upper Savanna Primary School,2022,Teacher,Active
Kamau Waweru,Male,74,18889009,Kisumu,Kisumu East,Kisumu East,Manyatta B,Manyatta B Primary School,2027,Driver,Active
Salim Thuo,Male,69,33421586,Kisumu,Kisumu Central,Kisumu Central,Migosi,Migosi Primary School,2027,Driver,Active
Mwanaidi Auma,Female,38,14616506,Mombasa,Mvita,Mvita,Mji wa Kale,Mji wa Kale Primary School,2013,Shopkeeper,Active
Moraa Gacheru,Female,79,26393649,Meru,Imenti North,Imenti North,Ntima East,Ntima East Primary School,2027,Teacher,Active
Fatuma Mutua,Female,85,34798543,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2022,Casual Worker,Active
Ahmed Kimani,Male,62,29125180,Machakos,Machakos Town,Machakos Town,Milimani,Milimani Primary School,2022,Police Officer,Active
Kamau Auma,Male,27,20586210,Eldoret,Kapseret,Kapseret,Megun,Megun Primary School,2022,Engineer,Active
Zawadi Jelimo,Female,48,39406068,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2013,Accountant,Active
Adhiambo Akinyi,Female,81,46454740,Eldoret,Kapseret,Kapseret,Simat,Simat Primary School,2022,Farmer,Active
Fatuma Otieno,Female,44,30301581,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2022,Accountant,Inactive
Zawadi Hassan,Female,78,45496609,Eldoret,Kapseret,Kapseret,Langas,Langas Primary School,2022,Engineer,Active
Kariuki Hassan,Male,55,10524999,Nairobi,Embakasi East,Embakasi East,Upper Savanna,Upper Savanna Primary School,2022,Engineer,Active
Kimani Akinyi,Male,50,47218729,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2022,Nurse,Active
Kwamboka Adhiambo,Female,71,30090967,Nakuru,Rongai,Rongai,Soin,Soin Primary School,2013,Police Officer,Active
Gitahi Adhiambo,Male,85,16951572,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2022,Self-employed,Inactive
Moraa Ochieng,Female,59,19012124,Kisumu,Kisumu Central,Kisumu Central,Migosi,Migosi Primary School,2022,Student,Active
Cheruiyot Ruto,Male,35,27748007,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2013,Casual Worker,Active
Halima Cheruiyot,Female,55,17746286,Nakuru,Nakuru Town East,Nakuru Town East,Nakuru East,Nakuru East Primary School,2022,Shopkeeper,Active
Gacheru Gitahi,Male,79,17183062,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2022,Police Officer,Active
Chebet Otieno,Female,36,47126210,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi Primary School,2013,Farmer,Active
Kipkoech Salim,Male,44,20431932,Kisumu,Kisumu Central,Kisumu Central,Railways,Railways Primary School,2022,Farmer,Active
Nyambura Hassan,Female,54,28276979,Machakos,Machakos Town,Machakos Town,Kalama,Kalama Primary School,2022,Farmer,Active
Mwanaidi Gitahi,Female,43,28908343,Nairobi,Westlands,Westlands,Westlands,Westlands Primary School,2022,Mechanic,Active
Mumbi Kinyanjui,Female,75,24135116,Nakuru,Nakuru Town East,Nakuru Town East,Flamingo,Flamingo Primary School,2017,Police Officer,Active
Gacheru Omondi,Male,53,33010306,Machakos,Machakos Town,Machakos Town,Milimani,Milimani Primary School,2022,Trader,Active
Wanjiku Thuo,Female,37,23663184,Eldoret,Turbo,Turbo,Turbo,Turbo Primary School,2027,Casual Worker,Active
Chepkoech Muriithi,Female,46,27715659,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2027,Self-employed,Active
Mwenda Ruto,Male,45,43917427,Mombasa,Likoni,Likoni,Shika Adabu,Shika Adabu Primary School,2022,Engineer,Active
Muriithi Otieno,Male,48,42784817,Mombasa,Likoni,Likoni,Likoni,Likoni Primary School,2027,Casual Worker,Active
Otieno Gitahi,Male,50,26852461,Machakos,Machakos Town,Machakos Town,Milimani,Milimani Primary School,2022,Driver,Active
Jepchirchir Akinyi,Female,59,13409056,Nairobi,Embakasi East,Embakasi East,Mihango,Mihango Primary School,2022,Teacher,Active
Njoroge Cheruiyot,Male,44,16194045,Nakuru,Rongai,Rongai,Soin,Soin Primary School,2022,Clerk,Active
Atieno Ngugi,Female,22,38425688,Nairobi,Embakasi East,Embakasi East,Upper Savanna,Upper Savanna Primary School,2013,Farmer,Active
Atieno Hassan,Female,75,28567695,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2022,Student,Active
Wambui Otieno,Female,63,12958612,Mombasa,Mvita,Mvita,Mji wa Kale,Mji wa Kale Primary School,2027,Teacher,Active
Adhiambo Njenga,Female,21,10237947,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2022,Self-employed,Active
Wangari Ngugi,Female,36,32384600,Kiambu,Ruiru,Ruiru,Gitothua,Gitothua Primary School,2013,Farmer,Active
Adhiambo Mwenda,Female,70,18779158,Nakuru,Rongai,Rongai,Visoi,Visoi Primary School,2027,Tailor,Active
Kiptoo Hassan,Male,41,27579520,Kiambu,Thika Town,Thika Town,Township,Township Primary School,2022,Casual Worker,Active
Atieno Njenga,Female,43,20843582,Mombasa,Likoni,Likoni,Mtongwe,Mtongwe Primary School,2022,Accountant,Inactive
Njeri Omar,Female,26,39651079,Mombasa,Likoni,Likoni,Timbwani,Timbwani Primary School,2027,Engineer,Active
Muthoni Ngugi,Female,39,47022646,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2013,Nurse,Active
Nyaguthii Kinyanjui,Female,77,38701583,Kisumu,Kisumu East,Kisumu East,Nyalenda A,Nyalenda A Primary School,2022,Mechanic,Active
Kiptoo Njoroge,Male,43,47641822,Kiambu,Thika Town,Thika Town,Ngoliba,Ngoliba Primary School,2017,Shopkeeper,Active
Kipchoge Jelimo,Male,69,10648922,Nairobi,Dagoretti North,Dagoretti North,Kabiro,Kabiro Primary School,2022,Nurse,Active
Jelimo Ngugi,Female,55,17507729,Meru,Igembe South,Igembe South,Nyambene Hills,Nyambene Hills Primary School,2013,Self-employed,Active
Khadija Jelimo,Female,39,15049529,Nairobi,Dagoretti North,Dagoretti North,Uthiru,Uthiru Primary School,2022,Trader,Active
Ochieng Atieno,Male,80,20002863,Meru,Imenti North,Imenti North,Ntima East,Ntima East Primary School,2017,Driver,Active
Odhiambo Kinyanjui,Male,23,46613944,Machakos,Mavoko,Mavoko,Kinanie,Kinanie Primary School,2013,Police Officer,Active
Waceera Ochieng,Female,27,12417807,Machakos,Mavoko,Mavoko,Athi River,Athi River Primary School,2022,Student,Under Review
Hamisi Muriithi,Male,18,34777665,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2022,Trader,Active
Njoroge Jelimo,Male,41,49091555,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2017,Casual Worker,Active
Ngugi Kiptoo,Male,79,47079331,Meru,Imenti North,Imenti North,Nyaki West,Nyaki West Primary School,2022,Casual Worker,Active
Akinyi Omar,Female,38,19938405,Nairobi,Westlands,Westlands,Kitisuru,Kitisuru Primary School,2013,Self-employed,Active
Mwangi Auma,Male,69,38842498,Kiambu,Thika Town,Thika Town,Ngoliba,Ngoliba Primary School,2022,Casual Worker,Active
Adhiambo Cheruiyot,Female,39,18552724,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2017,Student,Active
Gacheru Salim,Male,26,12807087,Kisumu,Kisumu East,Kisumu East,Nyalenda A,Nyalenda A Primary School,2017,Student,Active
Auma Jelimo,Male,30,30686867,Machakos,Machakos Town,Machakos Town,Kalama,Kalama Primary School,2017,Shopkeeper,Active
Gacheru Omondi,Male,18,34471348,Mombasa,Likoni,Likoni,Shika Adabu,Shika Adabu Primary School,2027,Mechanic,Active
Mwanaidi Kinyanjui,Female,72,12677299,Nairobi,Dagoretti North,Dagoretti North,Kabiro,Kabiro Primary School,2017,Mechanic,Active
Zuhura Kimani,Female,79,34012171,Machakos,Machakos Town,Machakos Town,Mua,Mua Primary School,2022,Shopkeeper,Active
Mwanaidi Salim,Female,84,24097997,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2013,Farmer,Active
Hassan Kiptoo,Male,72,26745657,Meru,Imenti North,Imenti North,Ntima East,Ntima East Primary School,2022,Driver,Active
Khadija Barasa,Female,79,16898363,Machakos,Machakos Town,Machakos Town,Milimani,Milimani Primary School,2017,Self-employed,Active
Muthoni Muriithi,Female,47,33734971,Machakos,Machakos Town,Machakos Town,Mutituni,Mutituni Primary School,2022,Clerk,Inactive
Odhiambo Jelimo,Male,24,47573146,Machakos,Mavoko,Mavoko,Muthwani,Muthwani Primary School,2017,Police Officer,Active
Ochieng Atieno,Male,51,37271524,Machakos,Machakos Town,Machakos Town,Mutituni,Mutituni Primary School,2017,Teacher,Active
Rehema Njenga,Female,74,20371898,Nairobi,Westlands,Westlands,Parklands,Parklands Primary School,2013,Tailor,Active
Bosibori Odhiambo,Female,64,25887173,Nakuru,Nakuru Town East,Nakuru Town East,Biashara,Biashara Primary School,2017,Farmer,Under Review
Cheruiyot Ruto,Male,43,20905308,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2022,Clerk,Active
Kipkoech Muriithi,Male,42,21881783,Meru,Igembe South,Igembe South,Nyambene Hills,Nyambene Hills Primary School,2022,Student,Active
Moraa Kiptoo,Female,55,37668609,Mombasa,Mvita,Mvita,Ganjoni,Ganjoni Primary School,2017,Teacher,Active
Waceera Bosibori,Female,61,11663384,Machakos,Mavoko,Mavoko,Mlolongo,Mlolongo Primary School,2027,Accountant,Active
Muriithi Omondi,Male,46,22036690,Kiambu,Thika Town,Thika Town,Gatuanyaga,Gatuanyaga Primary School,2022,Nurse,Active
Zuhura Otieno,Female,29,32292589,Kiambu,Thika Town,Thika Town,Hospital,Hospital Primary School,2017,Clerk,Active
Kiptoo Atieno,Male,52,37629602,Meru,Igembe South,Igembe South,Nyambene Hills,Nyambene Hills Primary School,2017,Clerk,Active
Kinyanjui Koech,Male,44,26654221,Nakuru,Nakuru Town East,Nakuru Town East,Flamingo,Flamingo Primary School,2017,Tailor,Active
Wairimu Kimani,Female,18,27905028,Mombasa,Mvita,Mvita,Shimanzi,Shimanzi Primary School,2022,Self-employed,Inactive
Khadija Gitahi,Female,41,20683586,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2027,Shopkeeper,Active
Mumbi Waweru,Female,79,17254174,Nairobi,Dagoretti North,Dagoretti North,Gitaru,Gitaru Primary School,2027,Farmer,Active
Moraa Adhiambo,Female,19,35671940,Mombasa,Likoni,Likoni,Bofu,Bofu Primary School,2013,Nurse,Active
Hassan Kinyanjui,Male,51,12598764,Kiambu,Thika Town,Thika Town,Ngoliba,Ngoliba Primary School,2017,Accountant,Inactive
Khadija Ochieng,Female,71,41587472,Eldoret,Kapseret,Kapseret,Megun,Megun Primary School,2022,Engineer,Active
Nyaguthii Bosibori,Female,47,24927274,Kisumu,Kisumu Central,Kisumu Central,Kondele,Kondele Primary School,2027,Clerk,Active
Maina Gacheru,Male,78,23393105,Nakuru,Nakuru Town East,Nakuru Town East,Kivumbini,Kivumbini Primary School,2027,Trader,Active
Hassan Akinyi,Male,24,40890427,Kiambu,Ruiru,Ruiru,Kahawa Wendani,Kahawa Wendani Primary School,2017,Clerk,Active
Koech Atieno,Male,51,33465179,Mombasa,Likoni,Likoni,Bofu,Bofu Primary School,2017,Self-employed,Active
Zuhura Mwangi,Female,43,30481012,Machakos,Machakos Town,Machakos Town,Mua,Mua Primary School,2022,Police Officer,Active
Kipkoech Muriithi,Male,28,25273674,Meru,Igembe South,Igembe South,Igembe East,Igembe East Primary School,2017,Driver,Active
Kimani Thuo,Male,28,24960146,Machakos,Mavoko,Mavoko,Syokimau,Syokimau Primary School,2017,Nurse,Active
Nyaguthii Ruto,Female,84,11588093,Kiambu,Ruiru,Ruiru,Gatongora,Gatongora Primary School,2027,Student,Active
Mutua Omar,Male,39,22960720,Kiambu,Thika Town,Thika Town,Kamenu,Kamenu Primary School,2017,Teacher,Active
Zawadi Mwangi,Female,51,36740599,Machakos,Machakos Town,Machakos Town,Mutituni,Mutituni Primary School,2022,Teacher,Active
Muthoni Hassan,Female,34,32029286,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2013,Tailor,Active
Omar Gitahi,Male,52,28696734,Eldoret,Kapseret,Kapseret,Langas,Langas Primary School,2022,Trader,Under Review
Thuo Moraa,Male,47,14658747,Kiambu,Ruiru,Ruiru,Kahawa Sukari,Kahawa Sukari Primary School,2027,Accountant,Active
Waceera Ngugi,Female,84,28731761,Kiambu,Thika Town,Thika Town,Township,Township Primary School,2027,Tailor,Active
Jelimo Otieno,Female,19,33565017,Eldoret,Kapseret,Kapseret,Kipkenyo,Kipkenyo Primary School,2022,Mechanic,Active
Kamau Kinyanjui,Male,73,44185636,Nakuru,Rongai,Rongai,Solai,Solai Primary School,2017,Trader,Active
Safia Hassan,Female,48,36821962,Kiambu,Thika Town,Thika Town,Gatuanyaga,Gatuanyaga Primary School,2022,Mechanic,Active
Wangari Barasa,Female,41,45984828,Machakos,Machakos Town,Machakos Town,Mutituni,Mutituni Primary School,2013,Teacher,Active
Nyaguthii Akinyi,Female,37,32223091,Nakuru,Rongai,Rongai,Soin,Soin Primary School,2013,Self-employed,Active
Kipkoech Barasa,Male,47,11852240,Kisumu,Kisumu East,Kisumu East,Kajulu,Kajulu Primary School,2013,Farmer,Active
Mwanaidi Mwenda,Female,22,17740453,Eldoret,Kapseret,Kapseret,Ngeria,Ngeria Primary School,2017,Tailor,Active
Mwangi Barasa,Male,78,27529855,Machakos,Machakos Town,Machakos Town,Kalama,Kalama Primary School,2017,Shopkeeper,Active
Wanjiku Omondi,Female,49,21983483,Nakuru,Rongai,Rongai,Mosop,Mosop Primary School,2022,Farmer,Active
